N,a_true,v_true,t0_true,a_est,v_est,t0_est
10,1.1892318811817835,1.9157968744581007,0.29149906269329473,1.033402382083602,2.1262042892779633,0.2416683863609188
10,0.9629916402760241,1.3832473240151322,0.2957066733771101,0.7926656042916196,1.7489018744023574,0.30141315824777337
10,1.0140107905737796,1.4191238939921327,0.429870422167418,0.9507028445481451,1.4581784088158227,0.4582085798717911
10,1.7415391840295225,1.9751769893977549,0.47057855033238993,3.572398778662878,1.9333661235976851,-0.13070090677768775
10,1.892818493451112,0.6275473361323989,0.24424251108868358,3.8706394729607148,1.7843963063202744,-0.24002916968695343
10,1.2278558657445575,0.9263100236966366,0.4673850455574492,1.1404588264358806,0.3555280547701215,0.6034425331598838
10,1.9537949320609878,0.9776712536401948,0.4893974068655039,1.7396711779263574,0.7968714885374588,0.6734286259739255
10,1.8063279448768235,0.7207979296848607,0.27854225087292894,1.739238987108157,0.7970695064885193,0.48099181150517123
10,0.6436470550068036,0.7729372243265018,0.4860702115070523,0.5724572466689247,1.4801067945554898,0.5068824183006025
10,1.311951671206725,1.224930127545024,0.45303263165895336,1.3676531902313425,1.6065656067124392,0.42889469178247575
10,1.5877113009700707,1.2194408835835497,0.19291264422306564,1.6817930371247873,1.3064773898057158,0.16908881668997866
10,1.4040064424056398,1.8543908181000401,0.24899047038542987,2.4889952772724935,2.774916787394292,0.1385991595601599
10,0.6421005346789364,0.6537871154087671,0.1840513362429014,0.6914997525370028,1.2253046472953926,0.1555285113570356
10,1.5135655122994867,1.0897013106498412,0.3646344431107076,3.8337464484590997,1.8015679626973218,-0.2586985995353248
10,1.9392513588517164,1.0721443677922293,0.34461321226843117,4.186729759125294,1.6496777141144012,-0.08852912633969323
10,1.6216966437945273,0.5092247262383229,0.4429967358598511,1.2340201202894494,0.32857252604038506,0.5961120376682274
10,1.930406761245076,1.189203123246759,0.41367525371572567,1.6495749861595623,1.3319943596208748,0.682998239609665
10,1.931780610845558,1.0123217777415414,0.4177303324357381,1.7925703031137092,0.7733556439665915,0.36304967995991866
10,1.624558886614225,1.1077517742322929,0.4022820146279116,1.544109385904256,1.4229721011957248,0.6571321876261143
10,1.9952673915452954,0.5270988031274142,0.4857310263988903,4.343505127805485,1.5901339069301677,0.2889899923936079
10,0.5071838176459202,1.429891152234323,0.3428615075649375,0.48746561754549345,1.7381694829135885,0.3409706973854249
10,0.9671596101158826,1.345111570923564,0.14268543485597418,1.0578680626286625,1.3104605480527811,0.15241956528633957
10,1.6867465716980048,0.5274577016812574,0.24631435872334195,,0.0,
10,1.215740310486109,0.7170730250957495,0.3314331216919676,1.092344883638907,1.2690995141587114,0.32233692580265716
10,1.1752700178592266,1.0397254413382444,0.3647765476808559,0.9329263667924428,0.4346164097625638,0.5034841233873442
10,1.1658010145539794,1.6211731096084254,0.2274037397985286,1.2002970775974584,1.1549593738032993,0.15892627039608914
10,1.7437673852591065,1.483706157786131,0.40990110186775175,3.644369949331542,1.8951848672540517,0.10574430630521858
10,0.937459660338112,1.8385438538964716,0.28811674370821755,2.0483212811464773,3.3719098865109363,0.06284510739971905
10,0.9712981628810797,0.6640903985235218,0.38752190945344456,1.018976813508311,0.39791396892747566,0.2565831959268385
10,1.6086953932127437,0.8967737878701074,0.24701670805962084,2.1261658657540212,1.0334210574662754,-0.07878733577897068
10,1.9331930866308764,1.4358188358995367,0.35077906260601555,1.9330200109973823,1.1366796850708831,0.204972815480589
10,1.822144472432476,0.5379524326114767,0.18930317326171933,2.0891590933826283,0.6635657214957692,-0.19519500234762632
10,1.5426265701372865,1.5925977342770703,0.31742255903668015,1.392179123038869,1.5782628405891375,0.4888371965039809
10,0.536899951042652,1.7075926925134053,0.47632134022487016,0.622478469752627,3.529800120170256,0.483240210849597
10,0.5908635195840217,0.7971019970473732,0.3335626392448673,0.6324261357246028,2.1920257288727365,0.3316132726891625
10,1.6199022026272625,1.3072947483135877,0.2504172865913812,3.2021378899145194,2.156919850454325,-0.10319559947838053
10,1.1582644778734,1.3476166155155478,0.12460797347705857,0.9208042544151813,0.9201715308378293,0.29533356608013994
10,1.9254976746355619,0.9525214591364506,0.19645493149139792,1.7611668881049771,0.7871453696313524,0.6380893182232348
10,0.7361637177982618,1.779495229177874,0.21506126938240697,0.7215407161785259,1.1742897405356711,0.20042298335432862
10,1.956040103947521,1.0601190704828507,0.4948005920389311,1.923480025662151,0.720721994834682,0.22870247469348792
10,1.3994354225704988,1.9878553634649514,0.21210241686283796,1.2272791765310154,1.1295672473139666,0.1619500717079646
10,1.3231791991562996,0.7305572157133534,0.40005828274249056,1.38549487543807,0.6115488952056226,0.4104566146131912
10,1.5457636793697125,0.8927623195953935,0.483150003896889,1.826773556337741,1.2027897873347517,0.5966804984892402
10,1.4977675772906403,0.9353533790835105,0.204080394647205,1.693792620973056,0.500237071466544,-0.12026750610456083
10,0.9110073447047121,1.4527688052219518,0.2571619460209562,0.9886813862437293,0.41010695027711297,0.2107859451253917
10,1.2261169866644748,0.816516215862355,0.20463141941873994,,0.0,
10,1.846484487399115,0.5672943065643217,0.45118650671664495,4.050992625411819,1.7049536785928905,0.13451050019738986
10,1.4910191731914286,0.6494981445056063,0.44444372663058795,1.638339995801796,0.5171685135920397,0.4033496049785683
10,1.3892500388264108,1.8108870800787176,0.3984073739001742,2.983369616422812,2.3150851777226475,0.12861533852509321
10,0.7920689711110346,0.6201117566298807,0.3466999675040514,0.8833177540882262,2.487467920990932,0.4380827049124201
10,1.243032562654671,0.6456572840806067,0.2534831936859627,1.1575424661070526,0.35028097886705584,0.17399654263681136
10,1.038170415000145,0.8557853444075761,0.4673231606602227,,0.0,
10,1.8882658624009392,1.5089177768860458,0.23771323829165622,4.162997245640314,1.6590822359735238,-0.28653791249442895
10,1.8850946521003333,1.569969483314366,0.48500434163935346,2.5879715915160877,2.6687908017577704,0.5214402940362844
10,1.0514866400110885,1.0657627101318305,0.10132943762001455,1.0933121845188962,1.2679766865764137,-0.012476507394238223
10,1.3940663593836076,0.7799825473581015,0.30127361720188817,1.506068866395589,0.9204720926458366,0.25173070829650007
10,1.4788339441949505,0.6550837800753357,0.3532817093889489,1.6407462179893733,0.5164100645775136,0.26542589733550703
10,1.4245533799991148,1.7345749478612542,0.47739798668261,1.1905196723120013,0.7117042079126189,0.48753554912960007
